id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.municipality,children_count.commune,zip_codes,geo.lat,geo.lon
AO10082,2,Município,Municipality,Caála,Caála,cala-ao10082,AO10082,,AO10,Huambo,Huambo,,,4,,-13.252,15.515
AO10083,2,Município,Municipality,Catchiungo,Catchiungo,catchiungo-ao10083,AO10083,,AO10,Huambo,Huambo,,,3,,-12.841,16.351
AO10084,2,Município,Municipality,Ecunha (Ekunha),Ecunha (Ekunha),ecunha-ekunha-ao10084,AO10084,,AO10,Huambo,Huambo,,,2,,-12.522,15.481
AO10085,2,Município,Municipality,Huambo,Huambo,huambo-ao10085,AO10085,,AO10,Huambo,Huambo,,,3,,-12.828,15.804
AO10086,2,Município,Municipality,Londuimbale,Londuimbale,londuimbale-ao10086,AO10086,,AO10,Huambo,Huambo,,,5,,-12.252,15.35
AO10087,2,Município,Municipality,Longonjo,Longonjo,longonjo-ao10087,AO10087,,AO10,Huambo,Huambo,,,4,,-13.043,15.314
AO10088,2,Município,Municipality,Mungo,Mungo,mungo-ao10088,AO10088,,AO10,Huambo,Huambo,,,2,,-11.737,16.176
AO10089,2,Município,Municipality,Tchikala-Tcholohanga,Tchikala-Tcholohanga,tchikala-tcholohanga-ao10089,AO10089,,AO10,Huambo,Huambo,,,4,,-12.864,16.089
AO10090,2,Município,Municipality,Tchinjenje,Tchinjenje,tchinjenje-ao10090,AO10090,,AO10,Huambo,Huambo,,,2,,-12.84,14.937
AO10091,2,Município,Municipality,Ukuma,Ukuma,ukuma-ao10091,AO10091,,AO10,Huambo,Huambo,,,3,,-12.762,15.129
AO11,1,Província,Province,Luanda,Luanda,luanda-ao11,AO11,,,,,,7,39,,-9.592,13.679
AO11003,2,Município,Municipality,Icolo e Bengo,Icolo e Bengo,icolo-e-bengo-ao11003,AO11003,,AO11,Luanda,Luanda,,,4,,-9.189,13.887
AO11004,2,Município,Municipality,"Quissama (Muxima, Quiçama)","Quissama (Muxima, Quiçama)",quissama-muxima-quiama-ao11004,AO11004,,AO11,Luanda,Luanda,,,4,,-9.795,13.923
AO11092,2,Município,Municipality,Cacuaco,Cacuaco,cacuaco-ao11092,AO11092,,AO11,Luanda,Luanda,,,3,,-8.817,13.43
AO11093,2,Município,Municipality,Cazenga,Cazenga,cazenga-ao11093,AO11093,,AO11,Luanda,Luanda,,,4,,-8.822,13.297
